"species","rep","treat","ros_read"
"sag69.72","rep2","no3_16_m",8967
"sag69.72","rep2","no3_160",13634
"sag69.72","rep2","no3_4",21191
"sag7.73","rep1","no3_16",5165
"sag7.73","rep1","no3_16_l",964
"sag7.73","rep1","no3_16_m",1964
"sag7.73","rep1","no3_160",3574
"sag7.73","rep1","no3_4",3616
"sag7.73","rep2","no3_16",3235
"sag7.73","rep2","no3_16_l",910
"sag7.73","rep2","no3_16_m",3183
"sag7.73","rep2","no3_160",3041
"sag7.73","rep2","no3_4",2892
