"species","rep","treat","sink","type","daily_max_growth"
"sag45-1","rep1","no3_16_l","y","s",9894
"sag45-1","rep1","no3_16_m","y","s",16588
"sag45-1","rep1","no3_160","y","s",15628
"sag45-1","rep1","no3_4","y","s",22309
"sag45-1","rep2","no3_16","y","s",33560
"sag45-1","rep2","no3_16_l","y","s",10183
"sag45-1","rep2","no3_16_m","y","s",12800
"sag45-1","rep2","no3_160","y","s",13843
"sag45-1","rep2","no3_4","y","s",26195
"sag61.72","rep1","no3_16","n","s",40318
"sag61.72","rep1","no3_16_l","n","s",5869
"sag61.72","rep1","no3_16_m","n","s",17679
"sag61.72","rep1","no3_160","n","s",22523
"sag61.72","rep1","no3_4","n","s",25765
"sag61.72","rep2","no3_16","n","s",41169
"sag61.72","rep2","no3_16_l","n","s",5904
"sag61.72","rep2","no3_16_m","n","s",13156
"sag61.72","rep2","no3_160","n","s",17901
"sag61.72","rep2","no3_4","n","s",18843
"sag69.72","rep1","no3_16","n","s",23191
"sag69.72","rep1","no3_16_l","n","s",4532
"sag69.72","rep1","no3_16_m","n","s",7109
"sag69.72","rep1","no3_160","n","s",9880
"sag69.72","rep1","no3_4","n","s",10469
"sag69.72","rep2","no3_16","n","s",16506
"sag69.72","rep2","no3_16_l","n","s",2222
"sag69.72","rep2","no3_16_m","n","s",5279
"sag69.72","rep2","no3_160","n","s",9232
"sag69.72","rep2","no3_4","n","s",8564
"sag7.73","rep1","no3_16","n","s",37864
"sag7.73","rep1","no3_16_l","n","s",15905
"sag7.73","rep1","no3_16_m","n","s",22652
"sag7.73","rep1","no3_160","n","s",26876
"sag7.73","rep1","no3_4","n","s",32905
"sag7.73","rep2","no3_16","n","s",35430
"sag7.73","rep2","no3_16_l","n","s",9093
"sag7.73","rep2","no3_16_m","n","s",27965
"sag7.73","rep2","no3_160","n","s",27076
"sag7.73","rep2","no3_4","n","s",43297
